id,author,average_word_length,standard_deviation_of_word_length,vocabulary_richness_measures,K_vocabulary_richness,R_vocabulary_richness,C_vocabulary_richness,H_vocabulary_richness,S_vocabulary_richness,k_vocabulary_richness,LN_vocabulary_richness,entropy,average_word_length,stddev_of_word_length,total_number_of_characters,frequency_of_alpha_characters,frequency_of_uppercase_characters,frequency_of_lowercase_characters,frequency_of_special_characters,frequency_of_digital_characters,frequency_of_whitespace_character,alpha_chars_ratio,uppercase_chars_ratio,lowercase_chars_ratio,special_chars_ratio,digital_chars_ratio,whitespace_chars_ratio,total_number_of_sentences,average_number_of_words_per_sentence,frequency_of_noun,frequency_of_proper_noun,frequency_of_pronoun,frequency_of_ordinal_adjectives,frequency_of_comparative_adjectives,frequency_of_superlative_adjectives,frequency_of_adverbs,frequency_of_comparative_adverbs,frequency_of_superlative_adverbs,frequency_of_modal_auxiliary,frequency_of_base_form_verb,frequency_of_past_verb,frequency_of_present_participle_verb,frequency_of_past_participle_verb,frequency_of_particle,frequency_of_wh_words,frequency_of_conjunction,frequency_of_numerical_word,frequency_of_determiner,frequency_of_existential_there,frequency_of_existential_to,frequency_of_preposition,frequency_of_genitive_marker,frequency_of_quotation,frequency_of_comma,frequency_of_terminator,total_number_of_words,total_number_of_distinct_words
25,Charles_Dickens,4.10643,0.0800686,0.441807,70.9061,15.9663,0.886144,717.472,0.143847,3.22641,-0.139378,571.677,4.10643,0.0800686,6860,5266,350,4916,292,0,1302,0.767639,0.0510204,0.716618,0.0425656,0,0.189796,62,109.677,266,185,148,88,2,8,66,0,0,26,100,46,7,15,2,13,60,5,109,0,30,102,6,0,121,22,1306,577
26,Charles_Dickens,4.26421,0.00732221,0.47619,67.8502,17.1825,0.896546,717.166,0.137097,3.26359,-0.139437,579.804,4.26421,0.00732221,7048,5443,367,5076,307,0,1298,0.772276,0.0520715,0.720204,0.0435585,0,0.184166,64,109.141,281,204,146,81,5,5,57,0,0,24,75,59,10,20,4,14,57,2,106,0,29,103,6,0,125,23,1302,620
27,Charles_Dickens,4.26187,0.0349174,0.470904,78.481,17.0178,0.895034,717.472,0.136585,3.25877,-0.139378,576.578,4.26187,0.0349174,7062,5478,332,5146,282,0,1302,0.775701,0.0470122,0.728689,0.039932,0,0.184367,57,122.912,304,199,130,88,5,2,52,0,0,19,52,66,12,21,4,16,60,5,115,0,28,113,7,0,123,17,1306,615
28,Charles_Dickens,4.29298,0.102933,0.459522,87.8607,16.5492,0.891519,716.781,0.127517,3.24444,-0.139512,568.666,4.29298,0.102933,7064,5471,308,5163,300,0,1293,0.77449,0.0436014,0.730889,0.0424689,0,0.183041,53,132.302,272,194,155,92,7,1,56,1,0,14,38,73,15,22,3,17,64,4,113,0,26,122,6,0,137,14,1297,596
29,Charles_Dickens,4.21126,0.0614001,0.435621,102.972,15.6884,0.884067,716.781,0.148673,3.21732,-0.139512,558.708,4.21126,0.0614001,6959,5359,288,5071,306,0,1294,0.770082,0.0413853,0.728697,0.0439718,0,0.185946,48,144,265,171,162,88,5,2,50,2,0,14,43,86,24,25,2,16,68,6,120,0,23,118,3,0,139,11,1297,565
30,Charles_Dickens,4.19453,0.00543731,0.430469,97.7661,15.4009,0.882191,715.462,0.157895,3.20758,-0.139769,561.691,4.19453,0.00543731,6866,5274,307,4967,315,0,1277,0.768133,0.0447131,0.72342,0.0458782,0,0.185989,56,121.75,253,174,136,87,4,4,43,4,0,22,67,60,30,25,1,19,68,2,130,0,25,114,2,0,136,22,1280,551
31,Charles_Dickens,4.07698,0.0257389,0.399689,134.007,14.3332,0.871905,715.929,0.136187,3.1712,-0.139678,546.101,4.07698,0.0257389,6739,5172,311,4861,285,0,1282,0.767473,0.0461493,0.721324,0.0422911,0,0.190236,55,121.691,284,159,115,77,3,4,29,3,0,20,65,50,25,39,1,23,66,2,153,0,24,112,3,0,126,26,1286,514
32,Charles_Dickens,4.14365,0.0321295,0.409629,150.316,14.5807,0.875077,714.441,0.129094,3.17948,-0.139969,543.658,4.14365,0.0321295,6744,5200,344,4856,283,0,1261,0.771056,0.0510083,0.720047,0.0419632,0,0.186981,59,113.475,309,188,85,75,4,5,33,3,0,16,57,21,19,30,1,22,60,0,155,0,24,122,5,0,135,33,1267,519
33,Charles_Dickens,4.12145,0.00341069,0.421924,108.37,15.0243,0.879229,714.52,0.136449,3.19474,-0.139954,555.059,4.12145,0.00341069,6720,5167,344,4823,291,0,1262,0.768899,0.0511905,0.717708,0.0433036,0,0.187798,61,109.393,305,201,122,68,4,2,42,1,0,19,60,25,22,30,1,21,51,3,124,0,27,108,5,0,143,27,1268,535
34,Charles_Dickens,4.18248,0.0902308,0.426849,66.9193,15.0551,0.880534,712.609,0.145009,3.19528,-0.140329,568.541,4.18248,0.0902308,6697,5131,368,4763,328,0,1238,0.766164,0.05495,0.711214,0.0489772,0,0.184859,67,99.1642,281,249,126,70,4,4,55,1,0,24,64,33,21,15,1,15,51,4,84,1,27,89,5,0,172,25,1244,531
35,Charles_Dickens,4.09471,0.00266083,0.424625,76.5968,15.1145,0.880109,714.441,0.133829,3.19776,-0.139969,564.964,4.09471,0.00266083,6680,5119,318,4801,302,0,1259,0.766317,0.0476048,0.718713,0.0452096,0,0.188473,57,116.421,271,215,128,80,2,2,58,0,0,26,68,56,17,20,0,15,78,4,85,1,29,92,6,0,163,15,1267,538
36,Charles_Dickens,4.20499,0.0501134,0.448168,91.8176,16.0529,0.887859,715.696,0.128696,3.22871,-0.139724,566.372,4.20499,0.0501134,6883,5323,267,5056,289,0,1271,0.773355,0.0387912,0.734563,0.0419875,0,0.184658,45,152,286,190,96,91,2,2,51,2,0,16,50,70,10,19,0,17,90,5,105,2,35,115,8,0,162,10,1283,575
37,Charles_Dickens,4.25883,0.0348869,0.46467,115.903,16.7668,0.893131,717.166,0.13719,3.25116,-0.139437,564.359,4.25883,0.0348869,7033,5485,213,5272,258,0,1290,0.779895,0.0302858,0.749609,0.0366842,0,0.183421,29,241.552,306,139,81,85,2,0,50,2,0,14,57,72,16,24,3,19,103,6,128,3,34,139,8,0,153,2,1302,605
38,Charles_Dickens,4.29214,0.0471683,0.450801,120.043,16.3225,0.889012,717.855,0.138748,3.2377,-0.139304,558.929,4.29214,0.0471683,7118,5563,187,5376,253,0,1302,0.78154,0.0262714,0.755268,0.0355437,0,0.182917,26,272.846,308,133,90,91,3,0,43,4,0,15,52,66,16,26,3,26,92,8,126,3,35,151,7,0,149,0,1311,591
39,Charles_Dickens,4.2746,0.0200344,0.415713,121.567,15.052,0.877725,717.855,0.161468,3.19659,-0.139304,553.505,4.2746,0.0200344,7094,5553,183,5370,240,0,1301,0.782774,0.0257964,0.756978,0.0338314,0,0.183394,26,271.923,309,126,87,86,4,0,49,4,0,13,54,78,13,33,4,29,97,8,118,2,30,150,9,0,153,1,1311,545
40,Charles_Dickens,4.27321,0.0349777,0.401509,114.227,14.6152,0.87307,718.917,0.159774,3.18195,-0.139098,552.839,4.27321,0.0349777,7147,5605,207,5398,232,0,1310,0.784245,0.0289632,0.755282,0.0324612,0,0.183294,27,263.778,309,139,100,103,7,1,51,5,0,10,45,80,7,33,2,30,91,7,112,1,31,137,14,0,135,2,1325,532
41,Charles_Dickens,4.25076,0.0344783,0.429331,98.9343,15.5747,0.882277,718.235,0.141593,3.21401,-0.13923,564.632,4.25076,0.0344783,7081,5538,241,5297,240,0,1303,0.782093,0.0340347,0.748058,0.0338935,0,0.184014,35,201.371,303,155,103,84,6,1,55,3,0,13,55,76,9,30,3,26,86,5,120,2,30,118,13,0,138,5,1316,565
42,Charles_Dickens,4.19832,0.0221836,0.418836,84.8247,15.1362,0.878703,717.472,0.153565,3.19931,-0.139378,567.257,4.19832,0.0221836,6972,5427,329,5098,250,0,1295,0.778399,0.0471888,0.731211,0.0358577,0,0.185743,46,150.609,302,178,125,69,5,1,63,1,0,17,65,50,14,21,2,21,75,6,119,2,20,106,10,0,137,14,1306,547
43,Charles_Dickens,4.13856,0.0883138,0.414885,81.9349,14.7445,0.876807,714.125,0.160305,3.18507,-0.140031,565.119,4.13856,0.0883138,6725,5174,379,4795,293,0,1258,0.769368,0.0563569,0.713011,0.0435688,0,0.187063,58,115.086,295,198,113,62,3,1,61,2,0,18,71,47,17,20,1,21,75,9,111,1,12,97,7,0,146,28,1263,524
44,Charles_Dickens,4.13633,0.0321788,0.417803,86.3532,14.7538,0.877569,712.85,0.140115,3.18505,-0.140282,562.449,4.13633,0.0321788,6658,5106,400,4706,309,0,1243,0.766897,0.0600781,0.706819,0.0464103,0,0.186693,57,116.053,293,209,99,66,3,2,65,3,0,14,74,49,16,24,0,18,72,10,101,0,11,99,7,0,139,35,1247,521
45,Charles_Dickens,4.22126,0.0499127,0.43622,116.759,15.5456,0.883919,714.677,0.166065,3.21213,-0.139923,560.022,4.22126,0.0499127,6862,5292,344,4948,303,0,1267,0.771204,0.0501312,0.721073,0.0441562,0,0.18464,49,139.327,314,190,82,79,3,5,47,4,0,11,55,76,14,29,0,17,77,7,131,0,14,105,7,0,127,25,1270,554
46,Charles_Dickens,4.3555,0.0374798,0.433486,125.048,15.6776,0.883519,717.625,0.176367,3.21719,-0.139348,561.202,4.3555,0.0374798,7193,5615,325,5290,275,0,1303,0.78062,0.0451828,0.735437,0.0382316,0,0.181148,41,174.659,332,189,79,78,2,4,49,4,0,13,45,75,16,28,1,20,69,7,154,0,17,110,4,0,124,14,1308,567
47,Charles_Dickens,4.32253,0.0185974,0.44838,106.262,16.3336,0.888451,719.068,0.159664,3.23835,-0.139069,570.221,4.32253,0.0185974,7228,5644,334,5310,265,0,1319,0.780852,0.0462092,0.734643,0.036663,0,0.182485,37,194.405,331,177,69,92,2,4,60,4,0,16,62,54,13,28,1,24,70,7,157,1,19,108,5,0,121,10,1327,595
48,Charles_Dickens,4.33788,0.0368239,0.452273,88.4757,16.4319,0.889572,718.539,0.157454,3.24126,-0.139171,574.312,4.33788,0.0368239,7213,5632,379,5253,274,0,1307,0.780812,0.052544,0.728268,0.037987,0,0.181201,50,143.3,336,209,59,96,2,3,66,4,0,18,73,25,13,22,1,28,62,5,134,1,24,100,12,0,117,19,1320,597
49,Charles_Dickens,4.21634,0.0334533,0.43646,82.6236,15.8694,0.884643,718.69,0.138648,3.22363,-0.139142,570.852,4.21634,0.0334533,7063,5463,368,5095,289,0,1311,0.773467,0.0521025,0.721365,0.0409175,0,0.185615,59,118.729,288,204,80,106,3,4,67,3,0,25,95,20,14,26,0,36,69,1,115,1,24,94,11,0,108,21,1322,577
50,Charles_Dickens,4.20499,0.00563796,0.428896,93.827,15.5944,0.88221,718.69,0.148148,3.21477,-0.139142,566.603,4.20499,0.00563796,7052,5461,364,5097,278,0,1313,0.77439,0.0516166,0.722774,0.0394214,0,0.186188,57,122.737,273,206,91,96,5,7,62,4,1,30,93,19,13,25,0,35,82,0,110,0,23,98,12,0,110,18,1322,567
51,Charles_Dickens,4.21116,0.0607224,0.430618,81.0453,15.6807,0.882818,718.992,0.148862,3.21765,-0.139083,570.423,4.21116,0.0607224,7077,5501,351,5150,259,0,1317,0.777307,0.0495973,0.727709,0.0365974,0,0.186096,46,152.87,252,203,99,94,4,6,66,7,1,26,88,33,9,29,0,37,87,1,103,0,22,111,10,0,107,10,1326,571
52,Charles_Dickens,4.27894,0.047974,0.442113,86.756,15.8607,0.886008,716.007,0.142355,3.22267,-0.139663,568.772,4.27894,0.047974,6998,5453,334,5119,270,0,1275,0.779223,0.0477279,0.731495,0.0385825,0,0.182195,42,165.762,282,199,97,78,4,5,57,7,1,14,63,49,7,25,2,21,81,8,100,0,19,127,13,0,126,12,1287,569
53,Charles_Dickens,4.36537,0.0384802,0.463066,98.7836,16.4307,0.892144,713.807,0.156089,3.24008,-0.140093,567.86,4.36537,0.0384802,6985,5439,343,5096,299,0,1247,0.778669,0.0491052,0.729563,0.042806,0,0.178525,52,133.5,295,201,93,66,6,1,55,6,0,4,50,48,11,22,2,19,73,10,108,1,20,123,12,0,136,20,1259,583
54,Charles_Dickens,4.35111,0.0663405,0.478503,124.27,16.9582,0.896703,713.569,0.15807,3.2561,-0.14014,568.85,4.35111,0.0663405,6960,5385,326,5059,326,0,1249,0.773707,0.0468391,0.726868,0.0468391,0,0.179454,56,123.464,316,185,85,63,7,1,45,2,0,12,65,36,15,22,4,14,69,10,131,1,15,120,8,0,136,21,1256,601
55,Charles_Dickens,4.29157,0.00810856,0.466357,103.072,16.7694,0.893533,716.472,0.124378,3.25108,-0.139572,569.889,4.29157,0.00810856,7037,5456,364,5092,301,0,1280,0.77533,0.0517266,0.723604,0.0427739,0,0.181896,55,127.036,304,199,91,68,6,2,51,4,0,18,84,14,17,25,2,15,72,4,130,2,18,118,15,1,125,13,1293,603
56,Charles_Dickens,4.17257,0.13252,0.423512,93.939,15.4277,0.880516,719.068,0.145907,3.20942,-0.139069,561.143,4.17257,0.13252,7025,5436,337,5099,275,0,1314,0.773808,0.0479715,0.725836,0.0391459,0,0.187046,55,126.764,288,175,127,72,3,3,60,3,0,33,103,21,17,27,3,21,62,3,132,1,12,124,13,0,109,13,1327,562
57,Charles_Dickens,4.14913,0.0041031,0.440575,86.8862,16.013,0.885937,718.614,0.134021,3.22818,-0.139156,565.774,4.14913,0.0041031,6968,5404,330,5074,256,0,1308,0.775545,0.0473594,0.728186,0.0367394,0,0.187715,54,128.074,273,182,134,73,2,2,69,3,0,28,94,31,17,30,1,23,66,3,119,1,13,125,13,0,119,15,1321,582
58,Charles_Dickens,4.13243,0.0310634,0.434161,89.8292,15.8275,0.883994,719.218,0.131716,3.22243,-0.139039,565.975,4.13243,0.0310634,6984,5405,284,5121,258,0,1321,0.773912,0.0406644,0.733247,0.0369416,0,0.189147,56,123.768,276,174,142,79,2,3,69,0,0,30,91,56,10,28,1,23,59,5,118,1,17,128,4,0,116,16,1329,577
59,Charles_Dickens,4.13723,0.00377843,0.432146,88.3455,15.6947,0.883224,718.463,0.14386,3.21796,-0.139186,564.388,4.13723,0.00377843,6949,5367,254,5113,271,0,1311,0.772341,0.036552,0.735789,0.0389984,0,0.18866,48,143.833,283,177,141,83,2,6,61,1,0,20,77,78,7,28,0,16,54,7,115,1,25,126,4,0,130,7,1319,570
60,Charles_Dickens,3.948,0.00142739,0.395629,83.4332,14.412,0.871044,719.068,0.135238,3.1749,-0.139068,554.487,3.948,0.00142739,6731,5141,234,4907,271,0,1319,0.76378,0.0347645,0.729015,0.0402615,0,0.195959,51,131.078,248,156,174,94,5,6,72,4,0,26,86,86,2,23,2,23,50,12,91,1,24,132,2,0,126,9,1327,525
61,Charles_Dickens,3.88711,0.00311787,0.391304,88.368,14.1682,0.869295,717.855,0.152047,3.16589,-0.139303,551.816,3.88711,0.00311787,6593,5024,244,4780,261,0,1308,0.76202,0.0370089,0.725011,0.0395874,0,0.198392,50,131.04,246,146,185,93,7,4,76,4,0,22,85,85,6,16,3,22,62,11,85,0,23,127,1,0,122,11,1311,513
62,Charles_Dickens,3.91475,0.025351,0.391705,87.1871,14.134,0.869312,717.166,0.160784,3.16446,-0.139437,553.769,3.91475,0.025351,6591,5039,242,4797,256,0,1296,0.764527,0.0367167,0.727811,0.0388408,0,0.196632,48,136.562,249,147,161,98,6,1,77,6,0,22,84,82,11,15,4,19,71,10,72,0,27,134,4,0,118,11,1302,510
63,Charles_Dickens,3.98081,0.000531525,0.402149,87.7484,14.5164,0.872995,717.242,0.179389,3.17803,-0.139422,557.434,3.98081,0.000531525,6682,5129,292,4837,251,4,1298,0.767585,0.0436995,0.723885,0.0375636,0.000598623,0.194253,44,151.068,247,168,148,93,5,2,73,4,0,20,80,88,14,15,2,15,80,10,81,1,32,123,4,0,117,6,1303,524
64,Charles_Dickens,4.10588,0.0810515,0.411765,102.176,14.7029,0.875914,715.07,0.12381,3.1839,-0.139846,555.28,4.10588,0.0810515,6740,5182,342,4840,281,0,1277,0.768843,0.0507418,0.718101,0.0416914,0,0.189466,34,197.412,314,167,82,87,1,6,60,6,0,33,95,21,15,12,1,20,87,3,112,1,22,108,3,0,156,6,1275,525
65,Charles_Dickens,4.16409,0.00456501,0.43808,113.188,15.7465,0.884791,716.395,0.141343,3.21909,-0.139587,560.734,4.16409,0.00456501,6878,5318,286,5032,271,0,1289,0.77319,0.0415819,0.731608,0.039401,0,0.187409,41,166.902,311,150,89,91,1,3,66,7,0,23,97,23,27,18,1,17,81,2,131,1,17,108,3,0,147,11,1292,566
66,Charles_Dickens,4.28361,0.00790542,0.460761,102.115,16.5297,0.891778,716.007,0.160202,3.24365,-0.139663,568.87,4.28361,0.00790542,7012,5449,336,5113,278,0,1285,0.777096,0.0479179,0.729179,0.0396463,0,0.183257,58,120,312,190,88,74,2,0,51,3,0,9,86,41,33,22,0,13,66,3,141,1,13,111,2,0,146,17,1287,593
67,Charles_Dickens,4.28762,0.00805175,0.442006,98.7363,15.789,0.885838,715.149,0.154255,3.22014,-0.139831,565.86,4.28762,0.00805175,6967,5409,296,5113,286,0,1272,0.776374,0.042486,0.733888,0.0410507,0,0.182575,63,109.841,288,195,101,67,3,1,69,1,0,12,77,49,36,24,1,11,68,2,142,1,10,101,3,0,148,19,1276,564
68,Charles_Dickens,4.27562,0.0480479,0.428571,109.323,15.3809,0.881676,716.085,0.148551,3.20708,-0.139648,559.15,4.27562,0.0480479,7004,5442,320,5122,277,0,1285,0.776985,0.0456882,0.731296,0.0395488,0,0.183467,62,112.226,302,189,96,60,4,3,65,0,0,12,55,72,24,23,1,10,71,4,151,3,13,127,2,0,141,15,1288,552
