id,author,average_word_length,standard_deviation_of_word_length,vocabulary_richness_measures,K_vocabulary_richness,R_vocabulary_richness,C_vocabulary_richness,H_vocabulary_richness,S_vocabulary_richness,k_vocabulary_richness,LN_vocabulary_richness,entropy,average_word_length,stddev_of_word_length,total_number_of_characters,frequency_of_alpha_characters,frequency_of_uppercase_characters,frequency_of_lowercase_characters,frequency_of_special_characters,frequency_of_digital_characters,frequency_of_whitespace_character,alpha_chars_ratio,uppercase_chars_ratio,lowercase_chars_ratio,special_chars_ratio,digital_chars_ratio,whitespace_chars_ratio,total_number_of_sentences,average_number_of_words_per_sentence,frequency_of_noun,frequency_of_proper_noun,frequency_of_pronoun,frequency_of_ordinal_adjectives,frequency_of_comparative_adjectives,frequency_of_superlative_adjectives,frequency_of_adverbs,frequency_of_comparative_adverbs,frequency_of_superlative_adverbs,frequency_of_modal_auxiliary,frequency_of_base_form_verb,frequency_of_past_verb,frequency_of_present_participle_verb,frequency_of_past_participle_verb,frequency_of_particle,frequency_of_wh_words,frequency_of_conjunction,frequency_of_numerical_word,frequency_of_determiner,frequency_of_existential_there,frequency_of_existential_to,frequency_of_preposition,frequency_of_genitive_marker,frequency_of_quotation,frequency_of_comma,frequency_of_terminator,total_number_of_words,total_number_of_distinct_words
11,Charles_Dickens,8.817377,2.156174,5.071548,0.333029,8.199178,9.1739,9.951177,5.226586,9.699599,10.049087,9.271296,8.817377,2.156174,8.901456,8.623867,1.506977,8.491645,1.939935,0.20649,9.538024,9.688149,1.066775,9.539611,1.158191,0.181927,9.143514,4.652778,0.258917,5.685279,2.606061,5.913462,1.282565,1.578947,0,4.671533,1.538462,0,2.413793,3.90625,8.536585,3.829787,6.153846,5,3,3.8,0.91954,6.788991,0.769231,5.064935,7.37069,5.185185,0,3.465046,0.677966,9.652236,8.345324
12,Charles_Dickens,8.807566,3.00375,4.834102,0.331097,7.79515,9.103839,9.94406,4.199356,9.622119,10.056265,9.189916,8.807566,3.00375,8.855733,8.58077,1.2,8.497667,2.045455,0,9.481166,9.689508,0.853857,9.595672,1.227494,0,9.135953,4.791667,0.250078,5.583756,2.287879,5.817308,1.322645,0.526316,1.052632,5.620438,1.538462,3.333333,2.758621,4.296875,8.943089,4.255319,6,6.111111,3.166667,4.066667,0.632184,6.46789,1.538462,4.805195,6.896552,5.925926,0,3.43465,0.847458,9.602555,7.913669
13,Charles_Dickens,8.943009,1.557021,5.039986,0.388236,8.124107,9.163893,9.94304,5.122459,9.685079,10.057353,9.152625,8.943009,1.557021,8.973649,8.75613,0.92093,8.720458,1.793831,0,9.559346,9.757599,0.646672,9.717854,1.062348,0,9.090235,3.958333,0.307121,5.989848,1.924242,6.009615,1.462926,1.052632,3.684211,5.182482,0,3.333333,3.62069,4.140625,7.96748,3.191489,6.153846,5.555556,2.5,3.933333,0.45977,7.201835,1.538462,4.675325,7.758621,2.222222,0,3.465046,0.508475,9.595458,8.244604
14,Charles_Dickens,9.030393,1.007401,5.438852,0.358632,8.679112,9.270623,9.915221,5.24054,9.784369,10.085558,9.343562,9.030393,1.007401,8.901456,8.678853,1.246512,8.589493,1.899351,0.058997,9.381663,9.749929,0.882394,9.649544,1.133963,0.051979,8.993659,3.888889,0.310199,6.294416,2.136364,5.721154,1.643287,0.526316,4.210526,4.744526,0,1.666667,3.103448,3.59375,7.804878,3.404255,6,3.888889,3,3.866667,0.45977,6.788991,0.769231,3.116883,7.241379,1.481481,0,3.677812,1.525424,9.403833,8.719424
15,Charles_Dickens,9.144775,1.636957,5.71761,0.290089,9.044407,9.340362,9.891072,6.07235,9.846124,10.110138,9.571387,9.144775,1.636957,8.864156,8.647645,1.748837,8.476592,2.021104,0.058997,9.20398,9.755746,1.243196,9.562781,1.21173,0.052198,8.860438,3.333333,0.360915,6.80203,2.69697,5.288462,1.723447,0.526316,3.684211,4.525547,0.769231,0,2.586207,3.046875,5.609756,6.595745,4.923077,2.222222,2.333333,3.533333,0.574713,6.330275,0,2.467532,6.724138,2.222222,0,4.255319,1.525424,9.240596,9.007194
16,Charles_Dickens,9.227415,0.295765,5.747899,0.254402,9.053843,9.34678,9.879362,7.634056,9.847148,10.122174,9.698281,9.227415,0.295765,8.856937,8.622381,2.353488,8.353154,2.272727,0.058997,9.061834,9.73517,1.674387,9.431204,1.363698,0.05224,8.730695,3.402778,0.35379,7.030457,3.454545,4.567308,1.823647,0.526316,2.631579,3.941606,0.769231,0,1.034483,2.8125,5.609756,7.659574,4.615385,1.111111,2.666667,3.6,0.804598,5.825688,1.538462,1.818182,5.344828,4.444444,0,4.103343,1.864407,9.162527,8.978417
17,Charles_Dickens,9.153917,4.967126,5.736744,0.240955,8.994151,9.342578,9.866481,7.330722,9.836394,10.13537,9.714359,9.153917,4.967126,8.734208,8.472284,2.651163,8.152943,2.402597,0,8.969439,9.700117,1.912672,9.334494,1.461882,0,8.763105,3.194444,0.371671,7.664975,3.515152,4.230769,1.823647,0.526316,2.631579,4.379562,2.307692,0,0.689655,3.28125,4.146341,7.021277,3.846154,0.555556,1.833333,3.666667,0.45977,5.642202,1.538462,2.077922,4.741379,4.814815,0,4.224924,3.050847,9.07736,8.877698
18,Charles_Dickens,8.742338,0.866364,5.624295,0.24648,8.869397,9.315562,9.882562,7.076132,9.815819,10.118839,9.672536,8.742338,0.866364,8.504392,8.172091,2.883721,7.81123,2.345779,0,9.09737,9.609263,2.136668,9.184939,1.465879,0,9.128291,3.611111,0.31965,7.791878,3.151515,5.048077,1.523046,1.052632,2.105263,3.211679,1.538462,0,1.551724,5.15625,4.146341,3.617021,5.230769,1.111111,3.166667,3.933333,0.229885,5.779817,1.538462,2.727273,4.568966,4.074074,0,3.799392,3.728814,9.183818,8.805755
19,Charles_Dickens,8.529626,2.503062,5.40791,0.201215,8.524904,9.258483,9.8815,7.61043,9.755148,10.119926,9.678242,8.529626,2.503062,8.349176,7.974439,3.311628,7.541773,2.321429,0,9.147122,9.551164,2.49934,9.032956,1.477631,0,9.348814,3.888889,0.290738,7.436548,3.19697,5.096154,1.442886,0.526316,0.526316,4.160584,1.538462,0,2.758621,7.03125,2.520325,2.765957,5.076923,1.111111,3.166667,3.4,0.91954,5.183486,0,2.987013,4.568966,2.962963,0,3.647416,4.067797,9.176721,8.460432
20,Charles_Dickens,8.426291,1.410301,5.197067,0.214513,8.27133,9.203943,9.907912,7.93609,9.710444,10.092954,9.603643,8.426291,1.410301,8.392492,8.02348,3.748837,7.520698,2.159091,0,9.31059,9.560304,2.814708,8.961219,1.367207,0,9.466813,3.75,0.303083,6.573604,3.318182,6.490385,1.482966,1.578947,1.052632,4.525547,0,1.666667,3.793103,6.71875,3.333333,2.765957,5.230769,1.111111,3.5,3.266667,0.977011,4.770642,0,2.597403,5.172414,4.074074,0,3.43465,2.711864,9.354152,8.28777
21,Charles_Dickens,8.468553,1.197674,5.216379,0.196594,8.25788,9.207542,9.893182,6.98211,9.70713,10.108035,9.651138,8.468553,1.197674,8.351582,7.95512,3.767442,7.448442,2.394481,0,9.189765,9.525289,2.84253,8.918606,1.523692,0,9.389693,4.166667,0.271236,5.812183,3.575758,7.5,1.583166,1.578947,1.578947,4.671533,0,1.666667,3.448276,5.703125,5.203252,2.553191,4.923077,0.555556,2.833333,3.133333,1.034483,4.266055,0,2.467532,5.043103,4.814815,0,3.525836,3.220339,9.254791,8.230216
22,Charles_Dickens,8.296604,0.719594,4.775047,0.256509,7.547623,9.078768,9.888948,7.650897,9.569371,10.112313,9.371438,8.296604,0.719594,8.192757,7.747065,3.693023,7.249737,2.516234,0,9.140014,9.455987,2.840401,8.848958,1.632208,0,9.51994,4.444444,0.249262,5.304569,3.393939,8.894231,1.863727,1.578947,1.578947,4.379562,0,1.666667,3.965517,4.53125,6.747967,1.702128,5.076923,1.111111,3.333333,3.6,0.344828,3.990826,0.769231,2.337662,4.784483,5.185185,0,3.951368,3.559322,9.226402,7.510791
23,Charles_Dickens,8.132986,1.31103,4.885321,0.247173,7.707045,9.111204,9.883638,5.607678,9.601001,10.117751,9.376808,8.132986,1.31103,8.047166,7.568732,3.237209,7.142857,2.524351,0,9.1258,9.405459,2.534869,8.876245,1.667098,0,9.677104,4.652778,0.23376,5.431472,3.136364,9.086538,1.883768,0.526316,2.631579,4.452555,0,0,4.310345,6.171875,5.853659,0.638298,4.461538,0.555556,3.666667,3.8,0.45977,3.944954,0.769231,3.116883,4.267241,4.074074,0,3.951368,3.728814,9.190916,7.654676
24,Charles_Dickens,8.17383,1.299243,5.043935,0.235053,7.948055,9.157173,9.880438,5.268352,9.647905,10.121014,9.445617,8.17383,1.299243,8.067621,7.582107,3.413953,7.127804,2.581169,0,9.132907,9.398197,2.66649,8.835071,1.700299,0,9.660067,4.305556,0.253414,5.482234,3.030303,8.75,1.943888,1.052632,3.684211,5.255474,0,0,4.827586,7.03125,4.878049,0.851064,2.923077,1.111111,2.666667,4.066667,0.45977,4.174312,0.769231,2.987013,4.051724,2.592593,0,4.133739,3.389831,9.169624,7.884892
25,Charles_Dickens,8.323665,1.900513,5.253922,0.219964,8.323671,9.218184,9.895292,6.921578,9.719391,10.10586,9.594278,8.323665,1.900513,8.254121,7.825829,3.255814,7.400271,2.37013,0,9.253731,9.481121,2.485514,8.965547,1.526004,0,9.566716,4.305556,0.259284,6.751269,2.80303,7.115385,1.763527,1.052632,4.210526,4.817518,0,0,4.482759,7.8125,3.739837,1.489362,2.307692,1.111111,2.166667,4,0.287356,5,0,3.896104,4.396552,2.222222,0,3.677812,3.728814,9.268985,8.302158
26,Charles_Dickens,8.643482,0.1738,5.662801,0.210484,8.95771,9.326391,9.891072,6.596784,9.831393,10.110138,9.730671,8.643482,0.1738,8.480327,8.088869,3.413953,7.641126,2.491883,0,9.225302,9.538393,2.53672,9.010412,1.5616,0,9.282935,4.444444,0.258017,7.13198,3.090909,7.019231,1.623246,2.631579,2.631579,4.160584,0,0,4.137931,5.859375,4.796748,2.12766,3.076923,2.222222,2.333333,3.8,0.114943,4.862385,0,3.766234,4.439655,2.222222,0,3.799392,3.898305,9.240596,8.920863
27,Charles_Dickens,8.638739,0.828801,5.59994,0.243463,8.871847,9.310663,9.895292,6.572148,9.816873,10.10586,9.67653,8.638739,0.828801,8.497172,8.140883,3.088372,7.7465,2.288961,0,9.253731,9.580695,2.29025,9.116567,1.431588,0,9.293066,3.958333,0.290572,7.715736,3.015152,6.25,1.763527,2.631579,1.052632,3.79562,0,0,3.275862,4.0625,5.365854,2.553191,3.230769,2.222222,2.666667,4,0.287356,5.275229,0,3.636364,4.87069,2.592593,0,3.738602,2.881356,9.268985,8.848921
28,Charles_Dickens,8.701798,2.443223,5.464587,0.272561,8.627553,9.274098,9.885762,6.135817,9.773705,10.115576,9.543746,8.701798,2.443223,8.499579,8.13048,2.865116,7.772091,2.435065,0,9.189765,9.565738,2.12409,9.144091,1.522538,0,9.226229,3.680556,0.312771,6.903553,2.939394,7.451923,1.843687,3.684211,0.526316,4.087591,0.769231,0,2.413793,2.96875,5.934959,3.191489,3.384615,1.666667,2.833333,4.266667,0.229885,5.183486,0,3.376623,5.258621,2.222222,0,4.164134,2.372881,9.20511,8.57554
29,Charles_Dickens,8.536153,1.457396,5.180358,0.319439,8.178794,9.196578,9.885762,7.153794,9.692007,10.115576,9.376624,8.536153,1.457396,8.37324,7.964036,2.67907,7.633599,2.483766,0,9.196873,9.511295,2.01613,9.116667,1.576417,0,9.372656,3.333333,0.340426,6.725888,2.590909,7.788462,1.763527,2.631579,1.052632,3.649635,1.538462,0,2.413793,3.359375,6.99187,5.106383,3.846154,1.111111,2.666667,4.533333,0.344828,5.504587,0,2.987013,5.086207,1.111111,0,4.224924,1.864407,9.20511,8.129496
30,Charles_Dickens,8.502242,0.12906,5.119091,0.303289,8.028913,9.177062,9.86757,7.597534,9.662666,10.13421,9.426686,8.502242,0.12906,8.26134,7.837717,2.855814,7.477044,2.556818,0,9.076048,9.487223,2.178247,9.050647,1.644763,0,9.374824,3.888889,0.287825,6.42132,2.636364,6.538462,1.743487,2.105263,2.105263,3.138686,3.076923,0,3.793103,5.234375,4.878049,6.382979,3.846154,0.555556,3.166667,4.533333,0.114943,5.963303,0,3.246753,4.913793,0.740741,0,4.133739,3.728814,9.084457,7.928058
31,Charles_Dickens,8.26397,0.61094,4.753059,0.415715,7.472291,9.070061,9.874011,6.552997,9.553073,10.127612,9.165044,8.26397,0.61094,8.108531,7.686135,2.893023,7.317477,2.313312,0,9.111585,9.479071,2.248213,9.024424,1.516163,0,9.588895,3.819444,0.287686,7.208122,2.409091,5.528846,1.543086,1.578947,2.105263,2.116788,2.307692,0,3.448276,5.078125,4.065041,5.319149,6,0.555556,3.833333,4.4,0.114943,7.018349,0,3.116883,4.827586,1.111111,0,3.829787,4.40678,9.12704,7.395683
32,Charles_Dickens,8.399109,0.762628,4.871264,0.466309,7.60132,9.103058,9.853489,6.211698,9.578016,10.148712,9.124044,8.399109,0.762628,8.114547,7.727746,3.2,7.30995,2.297078,0,8.962331,9.523325,2.484925,9.008447,1.504408,0,9.424826,4.097222,0.268262,7.84264,2.848485,4.086538,1.503006,2.105263,2.631579,2.408759,2.307692,0,2.758621,4.453125,1.707317,4.042553,4.615385,0.555556,3.666667,4,0,7.110092,0,3.116883,5.258621,1.851852,0,4.103343,5.59322,8.992193,7.467626
33,Charles_Dickens,8.35411,0.080956,5.017475,0.336184,7.832581,9.14625,9.854578,6.565604,9.623986,10.147624,9.315384,8.35411,0.080956,8.08567,7.678704,3.2,7.260274,2.362013,0,8.969439,9.496684,2.493801,8.979184,1.552462,0,9.466007,4.236111,0.258612,7.741117,3.045455,5.865385,1.362725,2.105263,1.052632,3.065693,0.769231,0,3.275862,4.6875,2.03252,4.680851,4.615385,0.555556,3.5,3.4,0.172414,5.688073,0,3.506494,4.655172,1.851852,0,4.346505,4.576271,8.99929,7.697842
34,Charles_Dickens,8.477817,2.141723,5.076043,0.207596,7.848638,9.159825,9.828222,6.977491,9.625613,10.174814,9.541648,8.477817,2.141723,8.057995,7.625204,3.423256,7.169953,2.662338,0,8.798863,9.462904,2.676949,8.897938,1.755864,0,9.317866,4.652778,0.234431,7.13198,3.772727,6.057692,1.402806,2.105263,2.105263,4.014599,0.769231,0,4.137931,5,2.682927,4.468085,2.307692,0.555556,2.5,3.4,0.229885,3.853211,0.769231,3.506494,3.836207,1.851852,0,5.227964,4.237288,8.828957,7.640288
35,Charles_Dickens,8.299908,0.063158,5.049595,0.237618,7.879605,9.155404,9.853489,6.439535,9.633084,10.148712,9.481616,8.299908,0.063158,8.037541,7.607371,2.95814,7.227156,2.451299,0,8.948117,9.464793,2.31912,8.991758,1.620793,0,9.50003,3.958333,0.275227,6.878173,3.257576,6.153846,1.603206,1.052632,1.052632,4.233577,0,0,4.482759,5.3125,4.552846,3.617021,3.076923,0,2.5,5.2,0.229885,3.899083,0.769231,3.766234,3.965517,2.222222,0,4.954407,2.542373,8.992193,7.741007
36,Charles_Dickens,8.523444,1.189494,5.329566,0.284836,8.368818,9.236024,9.870798,6.192548,9.726319,10.130947,9.505246,8.523444,1.189494,8.281795,7.910536,2.483721,7.611019,2.345779,0,9.033404,9.55172,1.889755,9.190056,1.505279,0,9.307734,3.125,0.359338,7.258883,2.878788,4.615385,1.823647,1.052632,1.052632,3.722628,1.538462,0,2.758621,3.90625,5.691057,2.12766,2.923077,0,2.833333,6,0.287356,4.816514,1.538462,4.545455,4.956897,2.962963,0,4.924012,1.694915,9.105749,8.273381
37,Charles_Dickens,8.632577,0.828077,5.525806,0.359553,8.740994,9.290867,9.891072,6.601259,9.793949,10.110138,9.471463,8.632577,0.828077,8.462279,8.151285,1.981395,7.936173,2.094156,0,9.168443,9.632496,1.475406,9.378295,1.315152,0,9.245383,2.013889,0.571045,7.766497,2.106061,3.894231,1.703407,1.052632,0,3.649635,1.538462,0,2.413793,4.453125,5.853659,3.404255,3.692308,1.666667,3.166667,6.866667,0.344828,5.87156,2.307692,4.415584,5.991379,2.962963,0,4.650456,0.338983,9.240596,8.705036
38,Charles_Dickens,8.700096,1.119589,5.360877,0.372396,8.509368,9.248018,9.900574,6.676226,9.753401,10.100494,9.380333,8.700096,1.119589,8.564553,8.267202,1.739535,8.092729,2.053571,0,9.253731,9.652813,1.27984,9.449094,1.274265,0,9.219979,1.805556,0.645026,7.817259,2.015152,4.326923,1.823647,1.578947,0,3.138686,3.076923,0,2.586207,4.0625,5.365854,3.404255,4,1.666667,4.333333,6.133333,0.45977,5.779817,2.307692,4.545455,6.508621,2.592593,0,4.528875,0,9.304471,8.503597
39,Charles_Dickens,8.664542,0.475538,4.943615,0.377124,7.847022,9.130604,9.900574,7.769459,9.629559,10.100494,9.289303,8.664542,0.475538,8.535676,8.252341,1.702326,8.083697,1.948052,0,9.246624,9.668054,1.2567,9.470488,1.212878,0,9.244022,1.805556,0.642844,7.84264,1.909091,4.182692,1.723447,2.105263,0,3.576642,3.076923,0,2.241379,4.21875,6.341463,2.765957,5.076923,2.222222,4.833333,6.466667,0.45977,5.412844,1.538462,3.896104,6.465517,3.333333,0,4.650456,0.169492,9.304471,7.841727
40,Charles_Dickens,8.661725,0.830233,4.774702,0.354354,7.619306,9.08218,9.915221,7.687947,9.585457,10.085558,9.278126,8.661725,0.830233,8.599447,8.329618,1.925581,8.125847,1.883117,0,9.31059,9.686222,1.410974,9.449269,1.163755,0,9.238981,1.875,0.623589,7.84264,2.106061,4.807692,2.064128,3.684211,0.526316,3.722628,3.846154,0,1.724138,3.515625,6.504065,1.489362,5.076923,1.111111,5,6.066667,0.402299,5.137615,0.769231,4.025974,5.905172,5.185185,0,4.103343,0.338983,9.403833,7.654676
41,Charles_Dickens,8.616219,0.818379,5.105558,0.306913,8.11952,9.177957,9.905815,6.813121,9.682036,10.095129,9.476044,8.616219,0.818379,8.520034,8.230049,2.24186,7.973807,1.948052,0,9.260839,9.659643,1.658037,9.358891,1.215104,0,9.275273,2.430556,0.476054,7.690355,2.348485,4.951923,1.683367,3.157895,0.526316,4.014599,2.307692,0,2.241379,4.296875,6.178862,1.914894,4.615385,1.666667,4.333333,5.733333,0.287356,5.504587,1.538462,3.896104,5.086207,4.814815,0,4.194529,0.847458,9.339957,8.129496
42,Charles_Dickens,8.509924,0.526551,4.980753,0.263142,7.890917,9.140778,9.895292,7.389185,9.637753,10.10586,9.520099,8.509924,0.526551,8.388882,8.065091,3.060465,7.674244,2.029221,0,9.20398,9.614018,2.298854,9.148119,1.285522,0,9.362424,3.194444,0.35605,7.664975,2.69697,6.009615,1.382766,2.631579,0.526316,4.59854,0.769231,0,2.931034,5.078125,4.065041,2.978723,3.230769,1.111111,3.5,5,0.344828,5.458716,1.538462,2.597403,4.568966,3.703704,0,4.164134,2.372881,9.268985,7.870504
43,Charles_Dickens,8.388792,2.096221,4.933768,0.254178,7.686713,9.121055,9.849131,7.713498,9.594856,10.153207,9.484218,8.388792,2.096221,8.091686,7.689107,3.525581,7.218124,2.378247,0,8.941009,9.502476,2.745488,8.920421,1.56197,0,9.428959,4.027778,0.272071,7.48731,3,5.432692,1.242485,1.578947,0.526316,4.452555,1.538462,0,3.103448,5.546875,3.821138,3.617021,3.076923,0.555556,3.5,5,0.517241,5.091743,0.769231,1.558442,4.181034,2.592593,0,4.43769,4.745763,8.963804,7.539568
44,Charles_Dickens,8.384271,0.763798,4.968469,0.267884,7.691562,9.128982,9.831546,6.742003,9.594796,10.171406,9.439408,8.384271,0.763798,8.01107,7.588052,3.72093,7.084149,2.508117,0,8.834399,9.471957,2.92677,8.842953,1.663839,0,9.410309,3.958333,0.274357,7.436548,3.166667,4.759615,1.322645,1.578947,1.052632,4.744526,2.307692,0,2.413793,5.78125,3.98374,3.404255,3.692308,0,3,4.8,0.574713,4.633028,0,1.428571,4.267241,2.592593,0,4.224924,5.932203,8.850248,7.496403
45,Charles_Dickens,8.556423,1.184731,5.187482,0.362209,8.104349,9.195038,9.856744,7.990656,9.676373,10.145376,9.398676,8.556423,1.184731,8.256527,7.864467,3.2,7.448442,2.459416,0,9.004975,9.525153,2.442196,9.021284,1.583028,0,9.306827,3.402778,0.329378,7.969543,2.878788,3.942308,1.583166,1.578947,2.631579,3.430657,3.076923,0,1.896552,4.296875,6.178862,2.978723,4.461538,0,2.833333,5.133333,0.402299,6.009174,0,1.818182,4.525862,2.592593,0,3.860182,4.237288,9.013485,7.971223
46,Charles_Dickens,8.828525,0.889623,5.154969,0.387923,8.173164,9.190877,9.897402,8.486363,9.691616,10.103685,9.41848,8.828525,0.889623,8.654795,8.344479,3.023256,7.96327,2.232143,0,9.260839,9.64145,2.201129,9.20099,1.370628,0,9.130812,2.847222,0.412905,8.426396,2.863636,3.798077,1.563126,1.052632,2.105263,3.576642,3.076923,0,2.241379,3.515625,6.097561,3.404255,4.307692,0.555556,3.333333,4.6,0.402299,7.06422,0,2.207792,4.741379,1.481481,0,3.768997,2.372881,9.28318,8.158273
