Id,Species,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
130,Iris-virginica,9.113924,6.818182,8.405797,6.4
131,Iris-virginica,9.367089,6.363636,8.84058,7.6
132,Iris-virginica,10,8.636364,9.275362,8
133,Iris-virginica,8.101266,6.363636,8.115942,8.8
134,Iris-virginica,7.974684,6.363636,7.391304,6
135,Iris-virginica,7.721519,5.909091,8.115942,5.6
136,Iris-virginica,9.746835,6.818182,8.84058,9.2
137,Iris-virginica,7.974684,7.727273,8.115942,9.6
138,Iris-virginica,8.101266,7.045455,7.971014,7.2
139,Iris-virginica,7.594937,6.818182,6.956522,7.2
140,Iris-virginica,8.734177,7.045455,7.826087,8.4
141,Iris-virginica,8.481013,7.045455,8.115942,9.6
142,Iris-virginica,8.734177,7.045455,7.391304,9.2
143,Iris-virginica,7.341772,6.136364,7.391304,7.6
144,Iris-virginica,8.607595,7.272727,8.550725,9.2
145,Iris-virginica,8.481013,7.5,8.26087,10
146,Iris-virginica,8.481013,6.818182,7.536232,9.2
147,Iris-virginica,7.974684,5.681818,7.246377,7.6
148,Iris-virginica,8.227848,6.818182,7.536232,8
149,Iris-virginica,7.848101,7.727273,7.826087,9.2
150,Iris-virginica,7.468354,6.818182,7.391304,7.2
